_id,Year,Province,Grade,Male,Female
336,2013.0,Sindh,14,13,0
337,2013.0,Sindh,15,1,0
338,2013.0,Sindh,16,4,0
339,2013.0,Sindh,17,3,0
340,2013.0,KPK,1,30172,1270
341,2013.0,KPK,2,40500,2315
342,2013.0,KPK,3,4907,813
343,2013.0,KPK,4,2177,85
344,2013.0,KPK,5,52195,880
345,2013.0,KPK,6,1564,81
346,2013.0,KPK,7,17094,1090
347,2013.0,KPK,8,181,264
348,2013.0,KPK,9,15133,2677
349,2013.0,KPK,10,333,95
350,2013.0,KPK,11,1656,220
351,2013.0,KPK,12,27463,16461
352,2013.0,KPK,13,87,1
353,2013.0,KPK,14,14851,1726
354,2013.0,KPK,15,22200,7477
355,2013.0,KPK,16,13071,5683
356,2013.0,KPK,17,8362,2206
357,2013.0,KPK,18,2319,338
358,2013.0,KPK,19,1088,108
359,2013.0,KPK,20,307,59
360,2013.0,KPK,21,74,4
361,2013.0,KPK,22,2,0
362,2013.0,Balochistan,1,6618,284
363,2013.0,Balochistan,2,2032,105
364,2013.0,Balochistan,3,309,0
365,2013.0,Balochistan,4,973,2
366,2013.0,Balochistan,5,1793,422
367,2013.0,Balochistan,6,1916,5
368,2013.0,Balochistan,7,1743,36
369,2013.0,Balochistan,8,593,317
370,2013.0,Balochistan,9,1206,10
371,2013.0,Balochistan,10,7,0
372,2013.0,Balochistan,11,980,297
373,2013.0,Balochistan,12,484,21
374,2013.0,Balochistan,13,25,0
375,2013.0,Balochistan,14,954,86
376,2013.0,Balochistan,15,199,4
377,2013.0,Balochistan,16,570,146
378,2013.0,Balochistan,17,1535,94
379,2013.0,Balochistan,18,301,36
380,2013.0,Balochistan,19,84,9
381,2013.0,Balochistan,20,30,4
382,2013.0,Balochistan,21,3,0
383,2013.0,Gilgit-Baltistan,1,285,1
384,2013.0,Gilgit-Baltistan,2,371,0
385,2013.0,Gilgit-Baltistan,3,20,0
386,2013.0,Gilgit-Baltistan,4,62,0
387,2013.0,Gilgit-Baltistan,5,4428,132
388,2013.0,Gilgit-Baltistan,6,98,3
389,2013.0,Gilgit-Baltistan,7,811,14
390,2013.0,Gilgit-Baltistan,8,1,0
391,2013.0,Gilgit-Baltistan,9,304,19
392,2013.0,Gilgit-Baltistan,10,3,0
393,2013.0,Gilgit-Baltistan,11,45,0
394,2013.0,Gilgit-Baltistan,12,53,0
395,2013.0,Gilgit-Baltistan,14,244,6
396,2013.0,Gilgit-Baltistan,15,29,0
397,2013.0,Gilgit-Baltistan,16,116,1
398,2013.0,Gilgit-Baltistan,17,157,6
399,2013.0,Gilgit-Baltistan,18,51,1
400,2013.0,Gilgit-Baltistan,19,16,0
401,2013.0,Gilgit-Baltistan,20,4,0
